Date,Time,Relative_time,Temperature,Frequency_0,Dissipation_0,Frequency_1,Dissipation_1,Frequency_2,Dissipation_2,Frequency_3,Dissipation_3,Frequency_4,Dissipation_4
2026-09-11,12:36:25,1269.711,25.0,5004598.0,6.963316792994738e-05,14988748.0,7.168980019912124e-05,24973695.0,8.9188916310668e-05,34957564.0,9.797244568169117e-05,44943103.0,0.00012184341455250978
2026-09-11,12:36:33,1277.991,25.0,5004598.0,6.968176419753582e-05,14988748.0,7.168980019912124e-05,24973695.0,8.887543641403317e-05,34957565.0,9.73945947214961e-05,44943103.0,0.00012184341455250978
2026-09-11,12:36:56,1300.17,25.0,5004598.0,6.968176419753582e-05,14988748.0,7.147050280123949e-05,24973694.0,8.86416345499456e-05,34957563.0,9.771088329702616e-05,44943102.0,0.00012201420129090548
2026-09-11,12:36:56,1300.171,25.0,5004598.0,6.968176419753582e-05,14988748.0,7.147050280123949e-05,24973694.0,8.86416345499456e-05,34957563.0,9.771088329702616e-05,44943102.0,0.00012201420129090548
2026-09-11,12:37:04,1308.193,25.0,5004598.0,6.966895932797342e-05,14988748.0,7.14564142357558e-05,24973695.0,8.86416345499456e-05,34957563.0,9.771088329702616e-05,44943101.0,0.0001221214403808117
2026-09-11,12:37:13,1317.418,25.0,5004598.0,6.97107512978837e-05,14988748.0,7.147800861857831e-05,24973695.0,8.86298231035471e-05,34957563.0,9.757649943232536e-05,44943101.0,0.0001221214403808117
2026-09-11,12:37:21,1325.709,25.0,5004598.0,6.966895932797342e-05,14988748.0,7.178728070296347e-05,24973695.0,8.881411863490938e-05,34957563.0,9.757649943232536e-05,44943102.0,0.00012199451130628586
2026-09-11,12:37:31,1335.766,25.0,5004598.0,6.962476152554154e-05,14988748.0,7.178728070296347e-05,24973694.0,8.890508852899074e-05,34957563.0,9.751497279107571e-05,44943102.0,0.00012197641310840846
2026-09-11,12:37:48,1352.867,25.0,5004598.0,6.962476152554154e-05,14988748.0,7.177637376263738e-05,24973694.0,8.890508852899074e-05,34957563.0,9.811285115778446e-05,44943102.0,0.0001219199696034193
2026-09-11,12:37:48,1352.867,25.0,5004598.0,6.962476152554154e-05,14988748.0,7.177637376263738e-05,24973694.0,8.890508852899074e-05,34957563.0,9.811285115778446e-05,44943102.0,0.0001219199696034193
2026-09-11,12:37:48,1352.868,25.0,5004598.0,6.962476152554154e-05,14988748.0,7.177637376263738e-05,24973694.0,8.890508852899074e-05,34957563.0,9.811285115778446e-05,44943102.0,0.0001219199696034193
2026-09-11,12:37:48,1352.868,25.0,5004598.0,6.962476152554154e-05,14988748.0,7.177637376263738e-05,24973694.0,8.890508852899074e-05,34957563.0,9.811285115778446e-05,44943102.0,0.0001219199696034193
2026-09-11,12:37:48,1352.868,25.0,5004598.0,6.962476152554154e-05,14988748.0,7.177637376263738e-05,24973694.0,8.890508852899074e-05,34957563.0,9.811285115778446e-05,44943102.0,0.0001219199696034193
2026-09-11,12:37:54,1358.35,25.0,5004598.0,6.95413861554116e-05,14988748.0,7.17190299667418e-05,24973694.0,8.890508852899074e-05,34957563.0,9.680293630063534e-05,44943102.0,0.00012197641310840846
2026-09-11,12:37:54,1358.351,25.0,5004598.0,6.95413861554116e-05,14988748.0,7.17190299667418e-05,24973694.0,8.890508852899074e-05,34957563.0,9.680293630063534e-05,44943102.0,0.00012197641310840846
2026-09-11,12:37:54,1358.351,25.0,5004598.0,6.95413861554116e-05,14988748.0,7.17190299667418e-05,24973694.0,8.890508852899074e-05,34957563.0,9.680293630063534e-05,44943102.0,0.00012197641310840846
2026-09-11,12:38:28,1392.31,25.0,5004598.0,6.995173176657409e-05,14988748.0,7.165249472856521e-05,24973695.0,8.799114122986793e-05,34957563.0,9.722642891854048e-05,44943103.0,0.00012209651268273592
2026-09-11,12:38:37,1401.824,25.0,5004598.0,6.994193484913558e-05,14988748.0,7.165249472856521e-05,24973695.0,8.799114122986793e-05,34957562.0,9.758213686943055e-05,44943103.0,0.00012213656254857777
2026-09-11,12:38:48,1412.352,25.0,5004598.0,6.958914095629007e-05,14988748.0,7.165249472856521e-05,24973694.0,8.89793966896832e-05,34957562.0,9.758213686943055e-05,44943103.0,0.00012225334506481885
2026-09-11,12:38:56,1420.935,25.0,5004598.0,6.958914095629007e-05,14988748.0,7.156387104652822e-05,24973694.0,8.89793966896832e-05,34957562.0,9.758213686943055e-05,44943102.0,0.00012225334506481885
2026-09-11,12:39:07,1431.374,25.0,5004598.0,6.958914095629007e-05,14988748.0,7.140393716283142e-05,24973694.0,8.89793966896832e-05,34957562.0,9.736688520759344e-05,44943102.0,0.00012206884486228228
2026-09-11,12:39:19,1443.518,25.0,5004598.0,6.960500595532358e-05,14988748.0,7.156387104652822e-05,24973694.0,8.870787216722965e-05,34957562.0,9.736688520759344e-05,44943102.0,0.00012194315364956855
2026-09-11,12:39:19,1443.518,25.0,5004598.0,6.960500595532358e-05,14988748.0,7.156387104652822e-05,24973694.0,8.870787216722965e-05,34957562.0,9.736688520759344e-05,44943102.0,0.00012194315364956855
2026-09-11,12:39:25,1449.529,25.0,5004598.0,6.959242288488895e-05,14988748.0,7.171935673430562e-05,24973694.0,8.878867700695991e-05,34957562.0,9.736688520759344e-05,44943102.0,0.00012184909679740667
2026-09-11,12:39:36,1460.24,25.0,5004598.0,6.960500595532358e-05,14988748.0,7.182249406911433e-05,24973695.0,8.861901243031025e-05,34957562.0,9.775172588974238e-05,44943102.0,0.00012160314463824034
2026-09-11,12:39:44,1468.991,25.0,5004598.0,6.978405228629709e-05,14988748.0,7.194896051101386e-05,24973695.0,8.861198802292347e-05,34957564.0,9.775172588974238e-05,44943101.0,0.00012160314463824034
2026-09-11,12:39:55,1479.263,25.0,5004598.0,6.978405228629709e-05,14988748.0,7.194896051101386e-05,24973695.0,8.861198802292347e-05,34957562.0,9.775172588974238e-05,44943101.0,0.00012191839798539877
2026-09-11,12:40:13,1497.628,25.0,5004598.0,6.978488543909044e-05,14988748.0,7.18332231529057e-05,24973695.0,8.873633906617761e-05,34957562.0,9.703415696322918e-05,44943102.0,0.00012194454748183489
2026-09-11,12:40:13,1497.628,25.0,5004598.0,6.978488543909044e-05,14988748.0,7.18332231529057e-05,24973695.0,8.873633906617761e-05,34957562.0,9.703415696322918e-05,44943102.0,0.00012194454748183489
2026-09-11,12:40:13,1497.629,25.0,5004598.0,6.978488543909044e-05,14988748.0,7.18332231529057e-05,24973695.0,8.873633906617761e-05,34957562.0,9.703415696322918e-05,44943102.0,0.00012194454748183489
